,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
66,0.07774820327758789,0.00697076250841187,0.0010393619537353515,8.00226806186749e-05,0.01,"(25, 25)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 4}",0.9852941176470589,0.9402573529411766,0.9255514705882354,0.9480698529411766,0.9618844696969697,0.9521916715421994,0.020308075237868862,65,0.9549479166666665,0.9662615740740741,0.9383825231481482,0.953197337962963,0.9422104779411766,0.9509999659586057,0.009897337050668092
67,0.07145133018493652,0.019714688577588232,0.0010415077209472655,0.00021557926577600326,0.01,"(25, 25)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 5}",0.9618566176470589,0.7674632352941178,0.9696691176470589,0.9071691176470589,0.9223484848484849,0.9056672713238485,0.07305610820551431,133,0.959794560185185,0.9084056712962962,0.9669994212962963,0.9203269675925925,0.9460018382352942,0.9403056917211329,0.022545855489030323
68,0.10239577293395996,0.023975438342747016,0.0011664390563964843,0.00037024351469555297,0.01,"(25, 25)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 6}",0.9852941176470589,0.9177389705882354,0.807904411764706,0.9333639705882353,0.984375,0.9256153765187056,0.06480712986950586,109,0.9566984953703703,0.9701678240740741,0.8569010416666668,0.9678096064814814,0.9662224264705883,0.9435598788126363,0.04357063325208986
69,0.091815185546875,0.024296753031072954,0.001134634017944336,0.00026031867697652746,0.01,"(25, 25)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 7}",0.5147058823529411,0.8589154411764706,0.9549632352941178,0.9333639705882353,0.984375,0.8489884067123782,0.17241756922447374,145,0.4937355324074074,0.923972800925926,0.9529947916666668,0.9699652777777776,0.964499080882353,0.8610334967320263,0.1843351786289557
70,0.08356232643127441,0.04335053834704498,0.0011196613311767578,0.00019309328637355245,0.01,"(25, 25)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 8}",0.9117647058823528,0.5,0.5,0.903952205882353,0.9618844696969697,0.7550982636268859,0.2095826972019047,153,0.9440393518518517,0.5037037037037038,0.5000000000000001,0.9292245370370369,0.9443933823529412,0.7642721949891067,0.21433846116181818
71,0.09477510452270507,0.020628659840375707,0.0012210845947265626,0.000125682787594594,0.01,"(25, 25)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 9}",0.8823529411764706,0.880514705882353,0.9696691176470589,0.9186580882352942,0.9467329545454546,0.9195300453561235,0.03511138739356988,117,0.9070023148148147,0.9627604166666669,0.9662615740740741,0.9457899305555555,0.9404871323529412,0.9444602736928106,0.021122710308871414
72,0.17393760681152343,0.005462508862093121,0.001558828353881836,0.00026716890236427773,0.01,"(100, 25, 100)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 2}",0.9411764705882354,0.9324448529411766,0.9774816176470589,0.9480698529411766,0.984375,0.9566529832792013,0.020484179626419664,53,0.9566984953703703,0.969965277777778,0.9586516203703704,0.9660590277777776,0.9534696691176472,0.9609688180827888,0.006110463456899834
73,0.11426777839660644,0.004874068927230764,0.0014478206634521485,0.0001328276615591641,0.01,"(100, 25, 100)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 3}",1.0,0.9315257352941178,0.9696691176470589,0.9480698529411766,0.984375,0.9666918531216168,0.024565798833130006,13,0.9430266203703703,0.9641059027777779,0.9599971064814816,0.973466435185185,0.9588694852941178,0.9598931100217865,0.00987441010698193
74,0.12835454940795898,0.019798514216829776,0.001392507553100586,7.272284129757571e-05,0.01,"(100, 25, 100)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 4}",0.9921875,0.9296875,0.9696691176470589,0.953125,0.984375,0.9657708558883676,0.02246193458752162,16,0.9552806712962962,0.9630931712962963,0.9658564814814816,0.9650462962962962,0.970703125,0.9639959490740739,0.0050263723198235395
75,0.17347221374511718,0.029003055181068986,0.0017327308654785157,0.0001855390845682024,0.01,"(100, 25, 100)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 5}",1.0,0.90625,0.9609375,0.921875,0.9765625,0.9530770705521472,0.034606499645800606,61,0.9750144675925925,0.9513744212962963,0.9433593750000001,0.9533275462962962,0.9572610294117647,0.9560673679193898,0.010501817636556915
