,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
245,0.10432300567626954,0.003988437970420028,0.0015932559967041016,0.0006005690200521753,0.001,"(25,)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 55}",0.9393382352941178,0.9402573529411764,0.9333639705882353,0.9627757352941178,0.9848484848484849,0.9520498197419888,0.019148732666302824,37,0.953197337962963,0.9566984953703703,0.960402199074074,0.9473379629629629,0.947610294117647,0.9530492578976034,0.005091283190182372
246,0.07919507026672364,0.01986465580180823,0.001306009292602539,4.3382853249421325e-05,0.001,"(25,)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 60}",0.8010110294117646,0.9402573529411764,0.903952205882353,0.9255514705882353,0.9618844696969697,0.9064181090497178,0.05604478280647952,258,0.8496961805555556,0.9288194444444444,0.9490885416666666,0.9436342592592593,0.9235983455882353,0.9189673543028322,0.035868502620282135
247,0.08908314704895019,0.007448602319761517,0.0013171672821044923,0.00015352709625026428,0.001,"(25, 25)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 2}",0.8786764705882353,0.8042279411764706,0.8474264705882353,0.71875,0.8764204545454546,0.8249953181216714,0.05959525915734644,345,0.8406684027777778,0.831032986111111,0.8253761574074074,0.8558883101851851,0.8260569852941176,0.8358045683551198,0.01143283603245135
248,0.07657194137573242,0.003462256952658694,0.0012490272521972657,5.417957163255066e-05,0.001,"(25, 25)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 3}",0.9159007352941175,0.953125,0.9384191176470589,0.9393382352941178,0.9921875,0.9477033336340671,0.025147855878543145,61,0.9615451388888889,0.942216435185185,0.9459201388888889,0.951982060185185,0.9384191176470588,0.9480165781590413,0.008110424989240942
249,0.06736359596252442,0.011804764983366854,0.0013461589813232421,0.00017806509255335686,0.001,"(25, 25)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 4}",0.8658088235294117,0.8658088235294117,0.895220588235294,0.7265625,0.9467329545454546,0.8598494246415801,0.0729569537940851,329,0.906394675925926,0.8952835648148147,0.8767650462962964,0.8133969907407407,0.875344669117647,0.873436989379085,0.03219626873446786
250,0.07565159797668457,0.016812713347957933,0.0012961864471435548,0.00011588492923163698,0.001,"(25, 25)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 5}",0.7118566176470589,0.9108455882352942,0.918658088235294,0.9549632352941178,0.9315814393939394,0.885486923320174,0.08820458156306833,293,0.8547453703703702,0.9416811342592593,0.9344762731481481,0.9216145833333333,0.9348575367647058,0.9174749795751633,0.03202897248571557
251,0.06997885704040527,0.008479858355848413,0.0023201465606689452,0.0008871729620185378,0.001,"(25, 25)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 6}",0.8915441176470589,0.921875,0.9453125,0.9618566176470589,0.9462594696969697,0.9333431812258274,0.024520297117559375,167,0.9574363425925925,0.947265625,0.923828125,0.9381076388888888,0.9291130514705882,0.9391501565904139,0.012139525529569328
252,0.11150684356689453,0.018479909506988957,0.0012743949890136718,3.779378949088595e-05,0.001,"(25, 25)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 7}",0.8534007352941175,0.9168198529411764,0.96875,0.9315257352941178,0.984375,0.9308650607482256,0.04580217752806765,183,0.9439670138888889,0.9449797453703703,0.9328559027777776,0.9422164351851852,0.9315257352941175,0.9391089665032679,0.005732874183913803
253,0.08973808288574218,0.022318212472989287,0.0014563560485839843,0.0003044968966429568,0.001,"(25, 25)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 8}",0.8984375,0.9540441176470589,0.8602941176470589,0.9384191176470589,0.9921875,0.9285465911824853,0.045480748312634156,193,0.9439670138888889,0.9543402777777779,0.9164207175925925,0.9339988425925925,0.9451976102941175,0.9387848924291939,0.012907439217300944
254,0.0643094539642334,0.021244483511512573,0.0020911693572998047,0.0014304553895128393,0.001,"(25, 25)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 9}",0.9315257352941178,0.8768382352941175,0.9384191176470589,0.9149816176470589,0.9535984848484849,0.9230102131017865,0.026227361521729813,221,0.9601996527777779,0.9146701388888889,0.9031539351851852,0.9090133101851852,0.943014705882353,0.926010348583878,0.021899643796656272
255,0.03971567153930664,0.0032978822805160768,0.0013744831085205078,0.0001634191971240578,0.001,"(25, 25)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 10}",0.9168198529411764,0.8943014705882353,0.8943014705882353,0.9774816176470589,0.9389204545454546,0.9243352074516364,0.03132297051510045,217,0.9488859953703703,0.935619212962963,0.9412760416666666,0.9223524305555555,0.9207261029411764,0.9337719566993463,0.010851338069360112
256,0.04123620986938477,0.00306860742320633,0.0014438629150390625,0.00036606273408985494,0.001,"(25, 25)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 15}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,373,0.5,0.5,0.5,0.5,0.49999999999999994,0.5,2.482534153247273e-17
257,0.0812990665435791,0.012949782278408208,0.0015303134918212891,0.00033363293134800116,0.001,"(25, 25)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 20}",0.8805147058823528,0.8736213235294117,0.8961397058823528,0.9333639705882353,0.9467329545454546,0.9059913860273614,0.028964442570482963,262,0.8904369212962961,0.9067997685185185,0.9305700231481482,0.9083478009259258,0.9253216911764705,0.9122952410130717,0.014333350675712904
258,0.06899595260620117,0.004239392320200402,0.0015615463256835938,0.0004228822104366504,0.001,"(25, 25)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 25}",0.9227941176470589,0.9306066176470589,0.9609375,0.9540441176470589,0.9921875,0.9520320206303381,0.024492402851772063,41,0.9574363425925925,0.9574363425925925,0.9498263888888889,0.9515769675925925,0.9596737132352942,0.955189950980392,0.0037952107129680876
259,0.08784980773925781,0.00536784643058057,0.0017537593841552735,0.0005910112255654842,0.001,"(25, 25)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 30}",0.9011948529411766,0.9099264705882353,0.9627757352941178,0.9618566176470589,0.9315814393939394,0.9334708791724536,0.02557660834348389,159,0.9225549768518517,0.9451822916666666,0.9377748842592593,0.9360243055555555,0.943704044117647,0.9370481004901959,0.008026128022635567
260,0.08449673652648926,0.01249341503947293,0.0013830184936523438,0.00012356178517109893,0.001,"(25, 25)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 35}",0.9099264705882353,0.9030330882352942,0.9186580882352942,0.8745404411764706,0.9467329545454546,0.910504272470282,0.023326856469186436,245,0.9290219907407407,0.9344762731481482,0.9305700231481482,0.8861255787037036,0.8684512867647057,0.9097290305010892,0.027129195980249782
261,0.07295436859130859,0.006314347898293862,0.001331186294555664,6.848626700977134e-05,0.001,"(25, 25)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 40}",0.9039522058823528,0.9108455882352942,0.9186580882352942,0.9696691176470589,0.9242424242424243,0.9254760023548366,0.0231681747155977,209,0.9107060185185185,0.920066550925926,0.962355324074074,0.9403356481481482,0.9461167279411764,0.9359160539215686,0.018489857760464253
262,0.10610136985778809,0.02032990204793828,0.003162860870361328,0.002705941185429682,0.001,"(25, 25)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 45}",0.7550551470588234,0.9324448529411764,0.8961397058823528,0.9480698529411766,0.9618844696969697,0.8985896325671,0.07513398497497407,274,0.8157552083333333,0.9547453703703703,0.9268663194444443,0.9175057870370369,0.906939338235294,0.9043624046840959,0.04706483558290803
263,0.06537008285522461,0.012901486777650467,0.003186464309692383,0.0015975477880276106,0.001,"(25, 25)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 50}",0.8069852941176472,0.8373161764705883,0.8520220588235294,0.8304227941176472,0.9618844696969697,0.8575131559641891,0.05392013369692992,333,0.8882812499999999,0.856495949074074,0.8510416666666667,0.856495949074074,0.9383042279411764,0.8781238085511983,0.03284456580598336
264,0.10653891563415527,0.009003789366823875,0.0014449119567871093,0.00010295560241404246,0.001,"(25, 25)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 55}",0.953125,0.9540441176470589,0.9765625,0.984375,0.984375,0.9704679417779382,0.014103417521633955,1,0.9689525462962962,0.98046875,0.9650462962962962,0.9748119212962962,0.9650735294117647,0.9708706086601306,0.005981069603858743
265,0.14264869689941406,0.029366724391413676,0.0017002582550048827,0.0002590909782587616,0.001,"(25, 25)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 60}",0.9393382352941175,0.9402573529411764,0.9333639705882353,0.9255514705882353,0.9090909090909092,0.9295621657754011,0.01145979171617319,186,0.9586516203703703,0.9584490740740741,0.956495949074074,0.9198640046296296,0.879940257352941,0.9346801811002179,0.03108535424678208
266,0.1267242431640625,0.0023427794511465755,0.0023920536041259766,0.0011221299030896635,0.001,"(100, 25, 100)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 2}",0.7688419117647058,0.784466911764706,0.783547794117647,0.7109375,0.9012784090909092,0.7895865628041512,0.06175009962197939,353,0.7944733796296295,0.786863425925926,0.7870659722222222,0.8164930555555554,0.7604549632352942,0.7890701593137255,0.01793837179245662
267,0.1389842987060547,0.04423649558538537,0.002093791961669922,0.0005780527753054601,0.001,"(100, 25, 100)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 3}",0.8727022058823528,0.9168198529411764,0.9393382352941178,0.9402573529411764,0.9770359848484849,0.929132965116703,0.03419695846942067,189,0.9486834490740741,0.937572337962963,0.9319155092592593,0.944777199074074,0.9226792279411764,0.9371255446623094,0.009253897877007262
268,0.15362896919250488,0.017568234861736594,0.0018994808197021484,0.0003738015565906812,0.001,"(100, 25, 100)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 4}",0.8943014705882353,0.8667279411764706,0.8304227941176472,0.910845588235294,0.9770359848484849,0.8957007655497595,0.04879378986078141,285,0.9418836805555557,0.9083478009259258,0.8453848379629629,0.9303674768518517,0.9233685661764705,0.9098704724945532,0.034023188565076315
269,0.1576854705810547,0.0041839557432872335,0.0019635677337646483,0.00036130547754573833,0.001,"(100, 25, 100)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 5}",0.921875,0.953125,0.9609375,0.9462316176470589,0.96875,0.9501458558883676,0.016031858874703105,49,0.9630931712962963,0.9533275462962962,0.9513744212962962,0.95703125,0.9296875,0.9509027777777778,0.011334494493184239
270,0.16564860343933105,0.03192038529892445,0.0017848014831542969,0.0003475191368098169,0.001,"(100, 25, 100)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 6}",0.90625,0.9296875,0.953125,0.96875,0.9770359848484849,0.946908211718411,0.025964032031689968,65,0.9500289351851852,0.951171875,0.947265625,0.943359375,0.950827205882353,0.9485306032135077,0.002927028195383358
271,0.1739138126373291,0.013249522465957602,0.002017641067504883,0.00045971906280345323,0.001,"(100, 25, 100)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 7}",0.9021139705882353,0.8667279411764706,0.8373161764705883,0.8667279411764706,0.9770359848484849,0.889806383256965,0.048014189778622915,289,0.9305700231481482,0.8529947916666667,0.8641059027777778,0.8970341435185185,0.8920036764705882,0.8873417075163399,0.027217559746542535
272,0.17648882865905763,0.020740223036042733,0.0020119667053222655,0.00044394859290247066,0.001,"(100, 25, 100)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 8}",0.8511029411764706,0.9108455882352942,0.9108455882352942,0.9333639705882353,0.9618844696969697,0.913509787745736,0.03642187922954381,237,0.8995949074074074,0.9323206018518517,0.9305700231481482,0.9268663194444443,0.9255514705882353,0.9229806644880174,0.011945156235990151
